Institution_Name,Latitude,Longitude
Environment Agency,50.8384158,-0.7543328
Loughborough University,52.763845,-1.2372582
Hacettepe University,39.8674482,32.7353845
Erciyes University,38.7073914,35.5337566
Institut Universitaire de France,45.1911392,5.7700458
University of Birmingham,52.4522956,-1.9312857
Université Lumière Lyon 2,45.7206314,4.9175834
University of Glasgow,1.3076892,103.7780353
University of Bristol,51.4905582,-2.6304825
Environmental Protection Agency,52.2955784,-6.5018763
McMaster University,43.2639397,-79.9178252
University of Kansas Medical Center,39.0571097,-94.6095438
Universität für Weiterbildung Krems,48.4078437,15.5863
Impact,32.5002189,-99.7461672
American University of Beirut,33.9000264,35.4823838
Kenya Medical Research Institute,-0.0779795,34.6773639
Bayer (United Kingdom),52.5396085,-2.0840294
Pwani University,-3.6199601,39.8462317
Erasmus University Rotterdam,51.9176312,4.5259623
University of Warwick,52.3813073,-1.5639569
Boston University,42.3504215,-71.1032247
James Hutton Institute,55.9238692,-3.1744525
Ollscoil na Gaillimhe – University of Galway,53.2936337,-9.0750599
North Carolina State University,35.7718497,-78.674087
Shanghai Jiao Tong University,31.2008912,121.4283949
University of Amsterdam,52.3681334,4.8898042
Universidad de Guanajuato,28.6984944,-106.1339119
Pohang University of Science and Technology,36.0180795,129.3208556
B. Braun (Netherlands),52.4025267,4.9196675
Leipzig University,51.3273963,12.3908893
University of Tübingen,48.5340595,9.0712444
Museo delle Scienze,46.062608,11.1147373
Universidade Estadual Paulista (Unesp),-22.3477173,-49.0302419
Punjab Technical University,31.3532479,75.4560639
Macquarie University,-33.774197,151.1127138
Wuhan University,30.5373581,114.361517
Stanford University,37.4313138,-122.1693654
"International Institute of Information Technology, Hyderabad",17.4454957,78.348547
Fudan University,31.3011748,121.4974703
Westlake University,30.3359809,120.0319713
Northeastern University,42.3351053,-71.0892579
University of Edinburgh,55.9440765,-3.1883736
Tencent (China),26.3695593,106.5008501
Institute of Computing Technology,34.6988529,135.1936779
Chinese Academy of Sciences,39.9093367,116.3297146
Mercer University,32.8289341,-83.6506702
Brooklyn Technical High School,40.6889357,-73.976432
Metropolitan Community College,41.3080078,-95.9588129
Kingsoft (China),40.0355599,116.3166452
University of Macau,22.1283648,113.5437784
Courant Institute of Mathematical Sciences,40.7286484,-73.9956863
Florida State University,30.442216,-84.297453
University of Pittsburgh,40.444153,-79.962461
Microsoft Research (United Kingdom),52.1949515,0.1350108
Peking University,40.1733654,116.15722
Université Paris Cité,48.8514684,2.341089
Universitat Politècnica de Catalunya,41.2214475,1.7301449
OpenAI (United States),37.7622102,-122.4104396
Universidad Michoacana de San Nicolás de Hidalgo,19.6892955,-101.2066338
Universidad Vasco de Quiroga,22.1333945,-100.9695244
Amazon (Germany),52.3397327,13.5582616
DeepMind (United Kingdom),51.5378075,-0.1263624
Laboratoire d'Informatique de Grenoble,45.1899678,5.7670157
Meta (United States),38.3125374,-92.1660095
Princeton University,40.3386752,-74.6583655
HEC Montréal,45.5039103,-73.622129
Tsinghua University,40.0022905,116.320963
Université de Montréal,45.5047577,-73.6145418
The University of Tokyo,35.9019845,139.9362283
Apple (Israel),31.883677,34.8225368
University of Mannheim,49.483885,8.4708736
Russian New University,46.845954,29.6704432
Peoples' Friendship University of Russia,55.6509317,37.5007268
University of Alberta,53.52682,-113.5244937
Marmara University,40.9872142,29.052956
Boğaziçi University,41.0832734,29.0505009
Joint Research Centre,45.8093355,8.6319814
Broad Institute,42.3681551,-71.0869811
Hong Kong University of Science and Technology,22.8916128,113.4790189
Uber AI (United States),40.0050578,-75.1610794
Massachusetts Institute of Technology,42.3582529,-71.0966272
National Taiwan University,25.0168175,121.5384571
GIPSA-Lab,45.1929245,5.7661983
Seoul National University,37.4670085,126.949073
University of Chicago,33.9703518,-117.3485087
Harbin Institute of Technology,45.741589,126.6255626
University of Hong Kong,54.0855168,13.3892808
University of Iowa,41.6311024,-91.540752
University of Indonesia,-8.8194936,13.2676447
University of Oslo,59.9414173,10.7227683
"University of California, Los Angeles",34.0198321,-118.2780639
Columbia University,40.8071816,-73.9614833
Salesforce (United States),37.7896012,-122.396872
National Institute of Information and Communications Technology,36.447757,136.5905927
IBM (United States),35.9158777,-78.8574526
Intel (United States),30.2623934,-97.7934026
"University of California, Santa Barbara",34.4146025,-119.84581
China Mobile (China),22.2765842,114.1745216
German Research Centre for Artificial Intelligence,52.5243079,13.3444441
Saarland University,49.2542421,7.0415117
Tianjin University,39.1072533,117.1778919
Singapore Management University,1.296168,103.8500437
National Institute of Technology Karnataka,13.0111909,74.7960312
National Institute of Technology Rourkela,22.2501589,84.9066856
Sardar Vallabhbhai National Institute of Technology Surat,21.1634495,72.7861213
Torbay Council,50.5324611,-3.5956571
Academia Sinica,25.0420743,121.614046
University of Illinois Urbana-Champaign,40.0761545,-88.2233134
University of Science and Technology of China,31.8234166,117.2758194
Virginia Tech,37.2219268,-80.4272818
Max Planck Institute for Informatics,49.2579386,7.0457777
University of Waterloo,43.4701994,-80.5452429
"University at Buffalo, State University of New York",42.9564244,-78.826488
Aalto University,60.1844626,24.8235709
University of Chinese Academy of Sciences,40.0021965,116.3734052
Central European University,48.1733738,16.3878467
EURECOM,43.6143795,7.0712057
"University of Maryland, College Park",38.9784587,-76.9282678
Adobe Systems (United States),37.7708713,-122.4016694
University of Central Florida,28.599591,-81.1971284
Kaduna Polytechnic,10.5223451,7.44098
George Mason University,38.8313333,-77.3079884
Robert Bosch (United States),38.7755995,-121.3104982
Ludwig-Maximilians-Universität München,48.1504757,11.5798356
École Polytechnique Fédérale de Lausanne,46.5186594,6.5665615
Oregon State University,44.563056,-123.2839234
Chinese Academy of Medical Sciences & Peking Union Medical College,39.9099946,116.4110562
Peking Union Medical College Hospital,39.9110517,116.409643
California University of Pennsylvania,40.0644315,-79.8843981
AlbaNova,40.9961934,14.1285746
Instituto de Astrofísica de Canarias,28.4747026,-16.3082208
Universidad de La Laguna,25.5767527,-103.4292775
University of Oulu,65.0593277,25.4673577
University of Groningen,53.2194416,6.5629863
China Electric Power Research Institute,40.0387975,116.3414176
KTH Royal Institute of Technology,59.2016758,17.6203201
North China Electric Power University,38.8760446,115.4973873
Aalborg University,57.0159071,9.9753082
China Agricultural University,40.025228,116.2745405
Universidad del Noreste,22.2813766,-97.8723748
Apple (Germany),48.1426663,11.5517123
Berkeley College,41.3110823,-72.9273247
National University of Singapore,1.2959845,103.7766186
Scuola Internazionale Superiore di Studi Avanzati,45.6786658,13.7749912
University of Trieste,45.6455635,13.8107684
École Polytechnique,48.7127874,2.2107453
Netaji Subhas University of Technology,28.6109477,77.0384563
Indian Institute of Technology Delhi,28.5449971,77.1891506
Yonsei University,37.567836,126.9393747
Université Toulouse - Jean Jaurès,43.5783751,1.4010003
KU Leuven,50.8057129,3.2915374
RMIT University,-37.6769964,145.0728962
City University of Hong Kong,22.3400205,114.1697162
Institut National de la Recherche Scientifique,46.8127373,-71.2243428
Bar-Ilan University,32.0693292,34.8433434
Allen Institute for Artificial Intelligence,47.6545623,-122.3250528
École Normale Supérieure - PSL,48.8417072,2.3447923
Département d'Informatique,36.6962908,4.0560068
University of Colorado Boulder,40.0070061,-105.2664423
University of Colorado Denver,39.7460707,-105.001771
Loyola Marymount University,33.9687824,-118.4182021
University of Science and Technology Beijing,39.9902334,116.3531753
Oklahoma State University Oklahoma City,35.4715073,-97.5817119
Swinburne University of Technology,-37.8205585,145.0385763
International Institute of Information Technology Bangalore,12.8447999,77.663239
Queen's Medical Centre,52.9420243,-1.1826525
Children's Hospital at Westmead,-33.8025039,150.9928645
St John of God Hospital,-38.1517889,144.3575611
Royal Darwin Hospital,-12.3548594,130.8826678
Perth Children's Hospital,-31.9693254,115.8170862
Sir Charles Gairdner Hospital,-31.967636,115.8152839
Queen Elizabeth II Medical Centre,-31.9678614,115.8143419
The University of Western Australia,-35.0274825,117.8871021
University of Nottingham,52.9387428,-1.2002957
Curtin University,-32.0057281,115.8929073
The University of Sydney,-33.8889073,151.1894111
National Research Council,45.4426876,-75.618285
McGill University,45.5068861,-73.5787118
Microsoft (Canada),43.7088887,-79.5478525
Universität Hamburg,53.5681961,9.9844102
University of Copenhagen,55.6801502,12.572327
University of Helsinki,60.2267221,25.01767
Institut national de recherche en sciences et technologies du numérique,48.6655909,6.1574513
Université de Lille,50.6285707,3.125956
École Centrale de Lille,50.6065889,3.1363691
École Normale Supérieure,48.8417072,2.3447923
Nanjing University,32.0565957,118.7740883
Centrum Wiskunde & Informatica,52.3564886,4.952115
Czech Technical University in Prague,50.1029026,14.3946353
Southern States University,31.3297795,-89.3332939
University of Southern California,34.021869,-118.2858579
Queen's University,54.5842117,-5.9364324
Google (Switzerland),47.3783842,8.5354431
ETH Zurich,47.413218,8.5374914
Boston Children's Hospital,42.3371715,-71.1056791
Griffith University,-27.9633383,153.384692
UC San Diego Health System,32.8914396,-117.2030893
Honda (Japan),35.5470106,140.2138696
Beihang University,39.9809427,116.3409787
Electronics and Telecommunications Research Institute,35.2259447,126.8455441
Konkuk University,37.5407875,127.0681712
Kangwon National University,37.8672582,127.7447487
Shandong University of Science and Technology,36.0014644,120.1163655
George Washington University,38.8998938,-77.0474483
Universidad de Oviedo,43.353527,-5.875013
Pearson (United States),35.8762788,-78.8494279
Pro Persona,51.814998,5.8795466
UF Health Cancer Center,28.5261992,-81.3771768
Weill Cornell Medicine,40.767009,-73.9547002
University of Florida Health,29.640426,-82.3434713
Institute of Information Technologies,41.2091237,69.1362285
Anhui University,31.8471874,117.2501336
Hefei University,31.8438084,117.2577969
Zhejiang University,30.521595,120.7195312
Huawei Technologies (China),31.2617971,121.6243165
Yandex (Russia),55.8009075,37.5828331
RWTH Aachen University,50.7791657,6.0689209
Indian Institute of Technology Bombay,19.1326186,72.9149702
John Brown University,34.7773056,-92.3646106
University of Trento,46.0661807,11.1166177
Rensselaer Polytechnic Institute,42.7298969,-73.6796678
Wake Forest University,36.133893,-80.2755578
École nationale des ponts et chaussées,48.8411282,2.5882677
Valeo (France),45.9284333,5.7217314
Centre de Recherche en Informatique,12.3772866,-1.5030046
Warsaw University of Technology,52.2216394,21.0073798
Nanjing University of Aeronautics and Astronautics,32.037419,118.8153537
Beijing Jiaotong University,39.9504404,116.336069
University of Regensburg,49.0030835,12.0962683
Faculty of Media,59.4322552,24.7422682
Universidad de Extremadura,38.8850722,-7.0078329
Access,5.5523944,-0.1900499
Stony Brook University,40.9090809,-73.1205518
South China University of Technology,23.160342,113.3372426
University of North Texas,33.2098926,-97.1514762
Newcastle University,54.9801751,-1.6146802
Christian-Albrechts-Universität zu Kiel,54.3458218,10.113073
Ontario Tech University,43.9483414,-78.8982025
University of Minnesota,44.9863392,-93.1794558
Minneapolis College of Art and Design,44.9566921,-93.27433
Shaanxi University of Technology,34.1251589,108.8289653
Chongqing University,29.5699866,106.4596225
Chan Zuckerberg Initiative (United States),37.4819451,-122.2258723
Fondazione Bruno Kessler,46.0669351,11.1514013
Vytautas Magnus University,54.8697097,23.9082135
Kaunas University of Technology,54.8988052,23.9126526
Linköping University,58.3977911,15.5754544
AstraZeneca (Sweden),59.177073,17.6791884
Indian Institute of Science Education and Research Pune,18.5456168,73.807205
Charles University,60.4518905,22.2791628
Université Bourgogne Franche-Comté,47.311891,5.0593758
Université Marie et Louis Pasteur,47.2483019,5.9894106
King Abdulaziz University,21.4934147,39.2485449
Qatar University,25.3719714,51.4879579
Indian Institute of Management Ahmedabad,23.0308597,72.5362748
Sorbonne Université,48.8379885,2.3611216
Université de Lorraine,48.8994042,2.2177086
Université Sorbonne Nouvelle,48.8378971,2.3612276
Université Paris-Saclay,48.7121501,2.1735087
Karen Hospital,-1.3360019,36.7261134
UNSW Sydney,-33.9175994,151.2312369
China Medical University,41.7899463,123.4063953
Singapore Institute of Technology,1.3003557,103.7799727
Alibaba Group (China),30.1918037,120.185449
ServiceNow (United States),37.3752665,-121.9644773
Universitat Pompeu Fabra,41.3892781,2.1911055
University of Klagenfurt,46.6164026,14.2646809
Guangdong University of Technology,22.9774866,113.3284096
Cranfield University,52.0701329,-0.6287023
Dominion (United States),29.6548176,-98.6138113
Ergon Energy (Australia),-27.572839,151.9209299
Universidad Politécnica de Madrid,40.3894172,-3.6282748
University of Minho,41.5599112,-8.3968123
Universitat Autònoma de Barcelona,41.5015527,2.1062607
Universitat de Barcelona,41.3868596,2.1634784
Suffolk University,42.3567011,-71.0610578
Southern University of Science and Technology,22.603603,113.9968497
King Abdullah University of Science and Technology,22.3223754,39.1173835
Shenzhen University,22.5359023,113.9314749
Harbin Medical University,46.5962562,125.1614156
First Affiliated Hospital of Harbin Medical University,45.7654174,126.6429651
Hebei University of Technology,39.2054298,118.585956
University of Colombo,6.9010965,79.8604345
University of South Carolina,33.9928841,-81.0268676
The University of Melbourne,-37.7960951,144.9614459
Naver (South Korea),37.3596811,127.1051699
University of Calgary,51.0750862,-114.1299504
University of Massachusetts Lowell,42.6519097,-71.3173628
Southeast University,32.0576478,118.7882819
Mystic Seaport,41.3613578,-71.9651517
United International University,23.7989022,90.4495995
Haverford College,40.0071506,-75.3069423
Jinan University,22.2518247,113.5291255
University of Pennsylvania,39.9503945,-75.1946713
"University of California, Santa Cruz",33.9812838,-117.3163289
University of Georgia,33.9404278,-83.373049
Children's Hospital of Philadelphia,39.9476976,-75.1949802
Lehigh University,40.6068028,-75.3782488
Samsung (United States),34.143405,-118.256953
Massachusetts General Hospital,42.3628605,-71.068753
University of South Florida,28.0599999,-82.4138362
James A. Haley Veterans' Hospital,28.0640384,-82.4287538
UCLouvain,50.8534643,4.3611421
Lawrence Berkeley National Laboratory,37.8769588,-122.2456303
Instituto Nacional del Carbón,43.3896291,-5.8245888
National Institute of Standards and Technology,39.1316116,-77.2165406
University of Rochester,18.4020672,-66.0615926
Film Independent,42.1949077,-122.710337
Argonne National Laboratory,41.709141,-87.9786195
The Francis Crick Institute,51.5315459,-0.1287946
Lawrence Livermore National Laboratory,37.687781,-121.7083093
University of Ulster,41.7385034,-74.0857893
Torrens University Australia,-33.8839662,151.2089297
Obuda University,47.1915319,18.427578
Ghulam Ishaq Khan Institute of Engineering Sciences and Technology,34.0744351,72.6459234
Edith Cowan University,-31.9192816,115.8691215
Fakir Mohan University,21.5485325,86.8164187
Hallym University,37.8861199,127.7386506
Adamas University,22.7381495,88.456588
Sun Yat-sen University,23.0996034,113.2923509
Albert Einstein College of Medicine,40.8542807,-73.8456159
Center for Cancer Research,30.2057026,-97.3054934
National Institutes of Health,39.0000143,-77.1040039
Waseda University,35.7091798,139.7197213
Ohio Supercomputer Center,39.9999223,-83.0400561
Tokyo Institute of Technology,35.6050487,139.682751
Illinois Institute of Technology,41.8361641,-87.6264723
Chicago Kent College of Law,41.8788616,-87.6420986
Inserm,45.7442613,4.8765302
CEA Paris-Saclay,48.7245606,2.1480654
Georgia Institute of Technology,33.7760948,-84.3988077
JPMorgan Chase & Co (United States),40.1473186,-82.990684
East China Normal University,31.2284923,121.4021139
Pioneer (United States),42.6539872,-94.3914906
Commonwealth Scientific and Industrial Research Organisation,-31.9495086,115.7896174
Data61,-33.8954501,151.1970367
Nankai University,39.1034775,117.1621788
"All India Institute of Medical Sciences, Nagpur",21.0356706,79.0264124
Tokyo University of the Arts,35.7472291,139.802157
Dartmouth–Hitchcock Medical Center,43.6756843,-72.2701018
HonorHealth,33.6393099,-112.193057
A.T. Still University,40.1931433,-92.5884991
Shanghai Sixth People's Hospital,31.1804073,121.4178832
National University Hospital,1.2942758,103.7830488
Cardinal Health (United States),42.3585399,-83.0856781
Christian Brothers University,35.1289696,-89.980225
Centre d'Etudes Superieures Industrielles,48.6548875,6.132926
Territoires,65.0000004,-118.0
Charles Darwin University,-12.3713738,130.8684834
Bangladesh University of Engineering and Technology,24.2897439,89.008877
Beijing University of Posts and Telecommunications,39.960227,116.3519331
University Hospital of Heraklion,35.3039313,25.0829472
University of Padua,45.4066496,11.8774407
Foundation for Research and Technology Hellas,35.3048208,25.0723025
Sağlık Bilimleri Üniversitesi,41.0039615,29.0197387
University of Crete,35.3072756,25.0824949
İstanbul Başakşehir Çam ve Sakura Şehir Hastanesi,41.105015,28.7764211
University of Palermo,54.0808542,13.4172247
University of Zurich,43.6535316,-79.3883612
Institute of Physics,51.5322852,-0.1205766
Institute of Medical Sciences,15.3614981,75.1309406
Raiganj University,25.6045505,88.1283421
University of Duisburg-Essen,51.4276779,6.7843162
University of York,53.9453903,-1.0314593
Trinity College Dublin,53.3438434,-6.2543853
University of South-Eastern Norway,59.3685194,10.4416421
Aligarh Muslim University,10.9234226,76.2427604
Barkatullah University,23.2018097,77.4526188
University of Louisiana at Lafayette,30.2117256,-92.0195772
Michigan State University,42.7023794,-84.4803869
Yale University,41.2571306,-72.9896696
University of Kerala,11.1364101,75.8904494
University of Florida,29.6411884,-82.3562296
Kyung Hee University,37.5971213,127.0519867
ELLIS Alicante,38.3377331,-0.4848428
Delft University of Technology,51.9988274,4.3739604
Nvidia (United States),45.5344957,-122.886274
Dalhousie University,44.6362011,-63.5919961
Universidade da Coruña,43.3708694,-8.3902487
University of the Sunshine Coast,-26.7184666,153.0651536
Twin Cities Orthopedics,44.8863718,-93.3313122
Tesla (United States),40.8497402,-74.3513562
University of Tartu,58.381014,26.7195598
Microsoft (Germany),52.5249284,13.4142174
Edinburgh College,-37.7838388,145.3525525
Microsoft (United Kingdom),51.5195583,-0.181935
Tokyo University of Science,35.9183873,139.9084751
Tohoku University,38.2541921,140.8407024
Dublin City University,53.3865964,-6.2589686
National Science Centre,50.0465757,19.9305951
Institute of Art,35.559563,45.41141
"Chinese University of Hong Kong, Shenzhen",22.6910685,114.207366
Bridge University,40.8627667,-73.9148567
Pázmány Péter Catholic University,47.4798912,19.0579106
Semmelweis University,47.4836969,19.0818525
Singapore General Hospital,1.279725,103.8346394
SingHealth,1.2776391,103.8350494
"University of California, San Francisco",37.7627257,-122.4582568
Duke-NUS Medical School,1.2810701,103.8341581
San Francisco Foundation,37.778874,-122.3984039
Cardiovascular Institute of the South,29.9092341,-90.3598632
VA Palo Alto Health Care System,37.4055537,-122.1408203
Cleveland Clinic,41.502172,-81.6198195
Kuwait University,29.344252,48.0833926
Ben-Gurion University of the Negev,31.2631254,34.8022385
Institute of Management Technology,6.4357352,7.5146067
Gulf Medical University,25.4178285,55.5016581
Gazipur Digital University,24.07178,90.2210402
Jahangirnagar University,23.8825492,90.2670388
Boise State University,43.6032821,-116.19941
BGI Research,22.6505363,114.5216997
Center for Life Sciences,42.3490585,-71.1015339
Artificial Intelligence Research Institute,48.2123017,16.3642194
Universitat Politècnica de València,39.4808517,-0.3420311
Western University,32.7139413,-117.0372503
Waikato District Health Board,-37.785991,175.2753272
Mayo Clinic Hospital,33.6578789,-111.9547698
Tel Aviv University,32.1123577,34.8050129
Ningbo University,29.9091815,121.6334863
Institute of Philosophy,47.4943187,19.0627219
Shanghai Ninth People's Hospital,31.2047293,121.4815725
National Cancer Institute,45.475,9.231368
Hellenic Mediterranean University,35.3195513,25.1023419
University of Ioannina,39.6156591,20.8412647
Qualcomm (United States),32.8972258,-117.2186174
University of Illinois Chicago,41.8689223,-87.6485848
Guangdong Medical College,23.1294489,113.3437611
Lanzhou University,36.0504988,103.8544558
Universidad de Sevilla,6.2694028,-75.5657913
Harz University of Applied Sciences,51.8259513,10.7614382
Bern University of Applied Sciences,46.9514414,7.435327
Amazon (United States),40.7204436,-74.1165021
King Saud University,24.7248229,46.6233911
Eötvös Loránd University,47.4934799,19.0618993
American International University-Bangladesh,23.822048,90.4274078
University of Basel,47.5612651,7.5752961
Universitäre Psychiatrische Kliniken Basel,47.5708921,7.5649876
Universidad Nacional de Loja,-4.0360004,-79.2019252
Cal Poly Humboldt,40.8678223,-124.0858187
Universidad de Especialidades Espíritu Santo,-2.1323238,-79.8659151
Universidad de Santiago de Chile,-33.4489016,-70.6816237
Universidad Católica de Cuenca,-2.8679552,-78.9810374
Universidad Nacional de Chimborazo,-1.6794976,-78.6417936
Universidad de Las Américas,-33.4364956,-70.6155675
University of Chile,-33.4617681,-70.596802
Politecnica Salesiana University,-2.886213,-78.9898324
Universidad de Buenos Aires,-34.5086718,-58.688352
University of the Americas,40.7279752,-74.0030269
Center for Environmental Health,37.7100005,-89.2339805
Defense Health Agency,38.8676604,-77.2103144
Uniformed Services University of the Health Sciences,39.0018688,-77.0863719
Max Planck Institute for Evolutionary Anthropology,51.3210313,12.394923
German Primate Center,51.5619065,9.9500365
Institut des Sciences Cognitives,45.7468063,4.8977407
Mediclinic City Hospital,25.2303746,55.3227651
Eskişehir Osmangazi University,39.7485483,30.4761351
Davidson College,35.5032193,-80.8339303
University of California Davis Medical Center,38.5526924,-121.45179
Henan Provincial People's Hospital,34.7739996,113.6886554
United Imaging Healthcare (China),31.4222906,121.2075936
Zhengzhou University,34.8214567,113.5297412
Huawei Technologies (Sweden),59.4008781,17.9570171
Mohammed Bin Rashid University of Medicine and Health Sciences,25.2327514,55.3237574
Max Super Speciality Hospital,26.8504107,81.0236362
University of British Columbia,49.2578915,-123.2429755
Polytechnique Montréal,45.5045875,-73.612996
Sichuan University,30.5601863,103.9973029
Auburn University,32.5919528,-85.4959775
Google (United Kingdom),51.5161163,-0.1272393
University of St.Gallen,47.4300025,9.3722184
University of Bern,46.9509726,7.4386841
Kantonsspital St. Gallen,47.4306872,9.3873288
Nationwide Children's Hospital,39.9520639,-82.9790074
Stanford Medicine,37.4319816,-122.1764865
